,dis _loss1,dis_acc1,gen_loss1,dis _loss2,dis_acc2,gen_loss2,dis _loss3,dis_acc3,gen_loss3,dis _loss4,dis_acc4,gen_loss4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
200,,1.180583,16.39,0.577298,,,,,,,,
400,,0.912273,17.81,0.668466,,,,,,,,
600,,0.808864,19.39,0.718008,,,,,,,,
800,,0.757828,22.36,0.712707,,,,,,,,
1000,,0.741014,28.4,0.71202,,,,,,,,
1200,,0.731459,28.62,0.713686,,,,,,,,
1400,,0.726514,29.82,0.712279,,,,,,,,
1600,,0.721615,31.75,0.70557,,,,,,,,
1800,,0.715769,36.13,0.710107,,,,,,,,
2000,,0.714028,33.87,0.709386,,,,,,,,
2200,,0.713805,34.43,0.701348,,,,,,,,
2400,,0.714592,31.96,0.709908,,,,,,,,
2600,,0.713215,33.55,0.703287,,,,,,,,
2800,,0.708056,36.42,0.707582,,,,,,,,
3000,,0.711019,35.35,0.704949,,,,,,,,
3200,,0.708479,37.17,0.716926,,,,,,,,
3400,,0.707024,36.78,0.709068,,,,,,,,
3600,,0.706233,37.39,0.711027,,,,,,,,
3800,,0.70697,36.61,0.706876,,,,,,,,
4000,,0.708566,34.59,0.71042,,,,,,,,
4200,,0.707837,35.49,0.704711,,,,,,,,
4400,,0.706467,33.94,0.703875,,,,,,,,
4600,,0.705604,36.35,0.70054,,,,,,,,
4800,,0.705535,35.53,0.702364,,,,,,,,
5000,,0.70284,37.75,0.701573,,,,,,,,
5200,,0.703026,37.77,0.702584,,,,,,,,
5400,,0.704168,37.44,0.707559,,,,,,,,
5600,,0.702613,39,0.704027,,,,,,,,
5800,,0.702418,38.7,0.707664,,,,,,,,
6000,,0.703006,38.17,0.703851,,,,,,,,
6200,,0.70241,37.94,0.705697,,,,,,,,
6400,,0.702166,39.05,0.701468,,,,,,,,
6600,,0.701689,39.26,0.707854,,,,,,,,
6800,,0.702495,37.7,0.702824,,,,,,,,
7000,,0.702746,39,0.699574,,,,,,,,
7200,,0.702616,36.13,0.703187,,,,,,,,
7400,,0.701469,37.94,0.701864,,,,,,,,
7600,,0.700136,40.86,0.710481,,,,,,,,
7800,,0.700738,40.07,0.705129,,,,,,,,
8000,,0.703202,38.22,0.703976,,,,,,,,
8200,,0.702342,36.81,0.698015,,,,,,,,
8400,,0.701952,38.95,0.702239,,,,,,,,
8600,,0.703708,36.28,0.711687,,,,,,,,
8800,,0.701897,36.7,0.698571,,,,,,,,
9000,,0.70228,38.31,0.70349,,,,,,,,
9200,,0.701737,40.66,0.702041,,,,,,,,
9400,,0.702406,37.52,0.700845,,,,,,,,
9600,,0.702617,37.61,0.694478,,,,,,,,
9800,,0.702187,36.8,0.699208,,,,,,,,
